Location_ID,City,Province,Address,Latitude,Longitude,Avg_Income,Traffic_Daily,Competitors,Rent_Per_Year,AI_Score,Grade,Verdict
ID_10015,Surabaya,Jawa Timur,"Jl. Antasari No. 143, Surabaya",-7.311774,112.659854,7878516,26088,71,95432067,79,B,Potensial ✅
ID_10016,Palembang,Sumatera Selatan,"Jl. Merdeka No. 85, Palembang",-2.992096,104.775626,5481931,10572,52,77448915,60,C,Cukup (Perlu Strategi) ⚠️
ID_10017,Palembang,Sumatera Selatan,"Jl. Cikini Raya No. 85, Palembang",-3.053606,104.761593,6622016,9925,73,62577131,52,D,Tidak Disarankan ❌
ID_10018,Pontianak,Kalimantan Barat,"Jl. Jend. Sudirman No. 138, Pontianak",-0.022403,109.260233,4088780,9489,43,49636564,53,D,Tidak Disarankan ❌
ID_10019,Tangerang Selatan,Banten,"Jl. Hayam Wuruk No. 8, Tangerang Selatan",-6.288802,106.788463,6869249,15947,64,92075995,56,C,Cukup (Perlu Strategi) ⚠️
ID_10020,Yogyakarta,DI Yogyakarta,"Jl. Raden Saleh No. 121, Yogyakarta",-7.756241,110.392226,4105630,14767,56,15000000,86,A,Sangat Direkomendasikan ⭐
ID_10021,Jayapura,Papua,"Jl. Imam Bonjol No. 172, Jayapura",-2.605607,140.670827,5633646,9016,37,87127989,56,C,Cukup (Perlu Strategi) ⚠️
ID_10022,Jakarta Selatan,DKI Jakarta,"Jl. Pasteur No. 161, Jakarta Selatan",-6.228698,106.836003,7209941,23762,82,80764823,72,B,Potensial ✅
ID_10023,Medan,Sumatera Utara,"Jl. Merdeka No. 37, Medan",3.612987,98.623254,7120766,9095,35,78385787,69,C,Cukup (Perlu Strategi) ⚠️
ID_10024,Balikpapan,Kalimantan Timur,"Jl. Pasteur No. 137, Balikpapan",-1.234122,116.794117,3866632,17384,68,37461589,67,C,Cukup (Perlu Strategi) ⚠️
ID_10025,Jayapura,Papua,"Jl. Pattimura No. 76, Jayapura",-2.599087,140.673508,2908565,3036,45,47769018,41,D,Tidak Disarankan ❌
ID_10026,Manado,Sulawesi Utara,"Jl. Merdeka No. 68, Manado",1.447847,124.820111,2800000,9467,46,55983128,47,D,Tidak Disarankan ❌
ID_10027,Tangerang Selatan,Banten,"Jl. Cikini Raya No. 104, Tangerang Selatan",-6.321905,106.760815,3412360,19796,50,64113478,73,B,Potensial ✅
ID_10028,Semarang,Jawa Tengah,"Jl. Gatot Subroto No. 135, Semarang",-6.954959,110.405723,5115386,16825,53,54047654,79,B,Potensial ✅
ID_10029,Bandung,Jawa Barat,"Jl. Gajah Mada No. 164, Bandung",-6.982154,107.719451,3840495,16719,47,30696370,79,B,Potensial ✅
ID_10030,Jakarta Selatan,DKI Jakarta,"Jl. Diponegoro No. 8, Jakarta Selatan",-6.273264,106.832999,6353675,22428,33,118562777,67,C,Cukup (Perlu Strategi) ⚠️
ID_10031,Semarang,Jawa Tengah,"Jl. Gatot Subroto No. 6, Semarang",-7.009401,110.446247,4326502,16518,56,44268404,80,B,Potensial ✅
ID_10032,Batam,Kep. Riau,"Jl. Gajah Mada No. 166, Batam",1.132083,104.099673,4844680,12348,69,52668703,67,C,Cukup (Perlu Strategi) ⚠️
ID_10033,Bandung,Jawa Barat,"Jl. Raden Saleh No. 62, Bandung",-7.006239,107.606596,9255683,5888,86,129971445,32,D,Tidak Disarankan ❌
ID_10034,Makassar,Sulawesi Selatan,"Jl. Diponegoro No. 107, Makassar",-5.168337,119.472442,4361717,19829,62,99569826,55,C,Cukup (Perlu Strategi) ⚠️
ID_10035,Bandar Lampung,Lampung,"Jl. Kemang No. 181, Bandar Lampung",-5.389212,105.30856,5007491,8148,48,53928175,50,D,Tidak Disarankan ❌
ID_10036,Semarang,Jawa Tengah,"Jl. Gatot Subroto No. 162, Semarang",-6.950227,110.410867,4304654,14585,62,43611126,67,C,Cukup (Perlu Strategi) ⚠️
ID_10037,Batam,Kep. Riau,"Jl. Pasteur No. 3, Batam",1.106206,104.010621,8079291,13922,89,87275872,54,D,Tidak Disarankan ❌
ID_10038,Kupang,NTT,"Jl. Cikini Raya No. 11, Kupang",-10.201152,123.691638,4893392,2706,51,78805595,33,D,Tidak Disarankan ❌
ID_10039,Bandar Lampung,Lampung,"Jl. Gajah Mada No. 109, Bandar Lampung",-5.38796,105.357614,3827607,11303,35,63740893,63,C,Cukup (Perlu Strategi) ⚠️
ID_10040,Palembang,Sumatera Selatan,"Jl. Cikini Raya No. 5, Palembang",-3.020209,104.715916,3797580,12229,68,93040423,42,D,Tidak Disarankan ❌
ID_10041,Surabaya,Jawa Timur,"Jl. Jend. Sudirman No. 73, Surabaya",-7.281991,112.74374,6710467,17407,94,104446300,56,C,Cukup (Perlu Strategi) ⚠️
ID_10042,Semarang,Jawa Tengah,"Jl. Imam Bonjol No. 186, Semarang",-6.977894,110.317811,3205151,8305,98,45175824,44,D,Tidak Disarankan ❌
ID_10043,Jakarta Pusat,DKI Jakarta,"Jl. Ahmad Yani No. 86, Jakarta Pusat",-6.206486,106.813882,6998385,17880,73,101608692,63,C,Cukup (Perlu Strategi) ⚠️
ID_10044,Medan,Sumatera Utara,"Jl. Ahmad Yani No. 37, Medan",3.586077,98.671805,7319317,12003,31,47439938,89,A,Sangat Direkomendasikan ⭐
ID_10045,Jakarta Pusat,DKI Jakarta,"Jl. Ahmad Yani No. 84, Jakarta Pusat",-6.127796,106.892773,8332320,18446,91,91045070,65,C,Cukup (Perlu Strategi) ⚠️
ID_10046,Medan,Sumatera Utara,"Jl. Hayam Wuruk No. 174, Medan",3.633037,98.670642,5919933,9759,33,83927057,52,D,Tidak Disarankan ❌
ID_10047,Surabaya,Jawa Timur,"Jl. Sisingamangaraja No. 109, Surabaya",-7.364796,112.749405,6123424,12220,59,95669720,47,D,Tidak Disarankan ❌
ID_10048,Jakarta Pusat,DKI Jakarta,"Jl. Pasteur No. 155, Jakarta Pusat",-6.234611,106.828823,7643880,16292,113,85060456,48,D,Tidak Disarankan ❌
ID_10049,Balikpapan,Kalimantan Timur,"Jl. Raden Saleh No. 90, Balikpapan",-1.240231,116.891256,4727732,16518,74,31375470,66,C,Cukup (Perlu Strategi) ⚠️
ID_10050,Batam,Kep. Riau,"Jl. Pattimura No. 82, Batam",1.092043,104.000585,3632112,18872,64,78688715,58,C,Cukup (Perlu Strategi) ⚠️
ID_10051,Balikpapan,Kalimantan Timur,"Jl. Pattimura No. 119, Balikpapan",-1.221301,116.864011,4751582,18368,37,56001041,77,B,Potensial ✅
ID_10052,Denpasar,Bali,"Jl. Kemang No. 147, Denpasar",-8.655741,115.221462,6634893,11666,72,68921729,62,C,Cukup (Perlu Strategi) ⚠️
ID_10053,Balikpapan,Kalimantan Timur,"Jl. Ahmad Yani No. 196, Balikpapan",-1.176664,116.877582,4831348,14468,62,68878277,61,C,Cukup (Perlu Strategi) ⚠️
ID_10054,Yogyakarta,DI Yogyakarta,"Jl. Diponegoro No. 134, Yogyakarta",-7.895612,110.351619,3196838,2000,29,63236111,33,D,Tidak Disarankan ❌
ID_10055,Batam,Kep. Riau,"Jl. Imam Bonjol No. 52, Batam",1.073238,104.059924,8736569,16206,17,43900627,99,A,Sangat Direkomendasikan ⭐
ID_10056,Bandung,Jawa Barat,"Jl. Merdeka No. 17, Bandung",-6.853126,107.626782,4719717,19791,71,64382605,70,B,Potensial ✅
ID_10057,Balikpapan,Kalimantan Timur,"Jl. Ahmad Yani No. 195, Balikpapan",-1.242902,116.865633,5498534,19722,59,81142874,62,C,Cukup (Perlu Strategi) ⚠️
ID_10058,Jakarta Pusat,DKI Jakarta,"Jl. Merdeka No. 16, Jakarta Pusat",-6.199677,106.841188,7247337,17951,85,113762416,50,D,Tidak Disarankan ❌
ID_10059,Denpasar,Bali,"Jl. Sisingamangaraja No. 91, Denpasar",-8.687376,115.25955,5925642,15096,65,75991386,60,C,Cukup (Perlu Strategi) ⚠️
ID_10060,Kupang,NTT,"Jl. Jend. Sudirman No. 25, Kupang",-10.086244,123.606554,2800000,12377,67,77930851,35,D,Tidak Disarankan ❌
ID_10061,Balikpapan,Kalimantan Timur,"Jl. Pasteur No. 3, Balikpapan",-1.22638,116.858098,4455860,18053,62,69144388,69,C,Cukup (Perlu Strategi) ⚠️
ID_10062,Jakarta Selatan,DKI Jakarta,"Jl. Gajah Mada No. 125, Jakarta Selatan",-6.248837,106.807741,5003712,20898,84,79810429,63,C,Cukup (Perlu Strategi) ⚠️
ID_10063,Palembang,Sumatera Selatan,"Jl. Hayam Wuruk No. 151, Palembang",-3.016344,104.776077,7923423,12995,74,70065168,68,C,Cukup (Perlu Strategi) ⚠️
ID_10064,Yogyakarta,DI Yogyakarta,"Jl. Pahlawan No. 64, Yogyakarta",-7.788712,110.34781,4573427,14616,38,64005311,70,B,Potensial ✅
ID_10065,Semarang,Jawa Tengah,"Jl. Diponegoro No. 21, Semarang",-6.915934,110.407076,6882951,10879,47,42125197,78,B,Potensial ✅
ID_10066,Jakarta Pusat,DKI Jakarta,"Jl. Diponegoro No. 121, Jakarta Pusat",-6.177538,106.805585,5216630,13501,63,76862521,58,C,Cukup (Perlu Strategi) ⚠️
ID_10067,Tangerang Selatan,Banten,"Jl. Diponegoro No. 107, Tangerang Selatan",-6.268081,106.690789,7036515,22867,135,118669041,41,D,Tidak Disarankan ❌
ID_10068,Palembang,Sumatera Selatan,"Jl. Imam Bonjol No. 60, Palembang",-3.002981,104.761139,5814408,15296,53,52229011,80,B,Potensial ✅
ID_10069,Manado,Sulawesi Utara,"Jl. Sisingamangaraja No. 25, Manado",1.477901,124.790413,5191251,7408,13,19739067,77,B,Potensial ✅
ID_10070,Bandar Lampung,Lampung,"Jl. Pasteur No. 172, Bandar Lampung",-5.436064,105.284737,3870044,9913,33,58239603,58,C,Cukup (Perlu Strategi) ⚠️
ID_10071,Surabaya,Jawa Timur,"Jl. Gajah Mada No. 181, Surabaya",-7.247664,112.740123,5215894,15073,114,86160102,38,D,Tidak Disarankan ❌
ID_10072,Semarang,Jawa Tengah,"Jl. Antasari No. 189, Semarang",-6.86988,110.445987,5312206,12855,91,77871750,47,D,Tidak Disarankan ❌
ID_10073,Surabaya,Jawa Timur,"Jl. Cikini Raya No. 45, Surabaya",-7.303849,112.689042,10427345,18317,69,84591120,84,B,Potensial ✅
ID_10074,Manado,Sulawesi Utara,"Jl. Diponegoro No. 159, Manado",1.476817,124.831557,4702764,13722,22,42867854,75,B,Potensial ✅
ID_10075,Jayapura,Papua,"Jl. Imam Bonjol No. 49, Jayapura",-2.637177,140.698827,2800000,14205,52,62561121,61,C,Cukup (Perlu Strategi) ⚠️
ID_10076,Padang,Sumatera Barat,"Jl. Jend. Sudirman No. 8, Padang",-0.991283,100.404166,5460328,18095,25,63205322,82,B,Potensial ✅
ID_10077,Jakarta Selatan,DKI Jakarta,"Jl. Ahmad Yani No. 160, Jakarta Selatan",-6.266714,106.830596,6441887,23762,70,97842293,79,B,Potensial ✅
ID_10078,Bandung,Jawa Barat,"Jl. Diponegoro No. 171, Bandung",-6.896243,107.564254,6611881,7999,21,70363801,67,C,Cukup (Perlu Strategi) ⚠️
ID_10079,Samarinda,Kalimantan Timur,"Jl. Jend. Sudirman No. 140, Samarinda",-0.530941,117.172893,7564249,13396,36,95118345,61,C,Cukup (Perlu Strategi) ⚠️
ID_10080,Padang,Sumatera Barat,"Jl. Jend. Sudirman No. 197, Padang",-0.939076,100.447305,5443503,11039,71,69837178,57,C,Cukup (Perlu Strategi) ⚠️
ID_10081,Denpasar,Bali,"Jl. Diponegoro No. 46, Denpasar",-8.739442,115.184405,4509689,18792,78,75106290,58,C,Cukup (Perlu Strategi) ⚠️
ID_10082,Balikpapan,Kalimantan Timur,"Jl. Raden Saleh No. 59, Balikpapan",-1.258987,116.827664,5599686,21672,22,60054770,97,A,Sangat Direkomendasikan ⭐
ID_10083,Surabaya,Jawa Timur,"Jl. Kemang No. 25, Surabaya",-7.224201,112.71813,4327011,21655,85,90940306,52,D,Tidak Disarankan ❌
ID_10084,Semarang,Jawa Tengah,"Jl. Kemang No. 113, Semarang",-6.924291,110.389425,5083295,17409,94,65750300,60,C,Cukup (Perlu Strategi) ⚠️
ID_10085,Jakarta Selatan,DKI Jakarta,"Jl. Antasari No. 130, Jakarta Selatan",-6.230282,106.742368,7780067,18551,59,96321806,69,C,Cukup (Perlu Strategi) ⚠️
ID_10086,Surabaya,Jawa Timur,"Jl. Merdeka No. 55, Surabaya",-7.297227,112.749996,6007123,21412,69,121621625,63,C,Cukup (Perlu Strategi) ⚠️
ID_10087,Denpasar,Bali,"Jl. Antasari No. 181, Denpasar",-8.688568,115.133686,6402483,16764,28,64902114,80,B,Potensial ✅
ID_10088,Jakarta Selatan,DKI Jakarta,"Jl. Pasteur No. 85, Jakarta Selatan",-6.366319,106.839632,8674844,13431,43,50813946,95,A,Sangat Direkomendasikan ⭐
ID_10089,Surabaya,Jawa Timur,"Jl. Sisingamangaraja No. 126, Surabaya",-7.269604,112.835148,3016763,15551,63,91767460,45,D,Tidak Disarankan ❌
ID_10090,Malang,Jawa Timur,"Jl. Hayam Wuruk No. 32, Malang",-7.986768,112.573126,6050997,21469,48,49925793,86,A,Sangat Direkomendasikan ⭐
ID_10091,Kupang,NTT,"Jl. Kemang No. 51, Kupang",-10.131956,123.606282,6588236,10886,51,44757359,68,C,Cukup (Perlu Strategi) ⚠️
ID_10092,Tangerang Selatan,Banten,"Jl. Pasteur No. 12, Tangerang Selatan",-6.29312,106.736967,6673885,23163,88,83349314,77,B,Potensial ✅
ID_10093,Jakarta Pusat,DKI Jakarta,"Jl. Pasteur No. 111, Jakarta Pusat",-6.241793,106.782046,6025727,20719,90,85358857,55,C,Cukup (Perlu Strategi) ⚠️
ID_10094,Jakarta Selatan,DKI Jakarta,"Jl. Gajah Mada No. 145, Jakarta Selatan",-6.245185,106.792861,7160195,18905,78,79264757,72,B,Potensial ✅
ID_10095,Batam,Kep. Riau,"Jl. Pahlawan No. 34, Batam",1.126152,104.111889,4425527,16106,47,82091141,65,C,Cukup (Perlu Strategi) ⚠️
ID_10096,Yogyakarta,DI Yogyakarta,"Jl. Gajah Mada No. 97, Yogyakarta",-7.812172,110.424278,3001961,4904,92,37016666,33,D,Tidak Disarankan ❌
ID_10097,Bandung,Jawa Barat,"Jl. Pasteur No. 119, Bandung",-6.910895,107.65068,5660462,13013,72,55218171,66,C,Cukup (Perlu Strategi) ⚠️
ID_10098,Makassar,Sulawesi Selatan,"Jl. Pahlawan No. 200, Makassar",-5.203794,119.372227,7884480,9273,81,47224634,74,B,Potensial ✅
ID_10099,Denpasar,Bali,"Jl. Imam Bonjol No. 71, Denpasar",-8.717658,115.119321,5046357,12595,76,30300877,72,B,Potensial ✅
ID_10100,Surabaya,Jawa Timur,"Jl. Pattimura No. 143, Surabaya",-7.205845,112.688584,5282424,16753,101,103211754,41,D,Tidak Disarankan ❌
ID_10101,Batam,Kep. Riau,"Jl. Gajah Mada No. 86, Batam",1.101022,104.11574,4089259,14221,73,107481394,43,D,Tidak Disarankan ❌
ID_10102,Ambon,Maluku,"Jl. Pasteur No. 188, Ambon",-3.698012,128.175946,6980748,9898,80,68432403,57,C,Cukup (Perlu Strategi) ⚠️
ID_10103,Semarang,Jawa Tengah,"Jl. Jend. Sudirman No. 5, Semarang",-6.910976,110.412105,6006570,18401,59,72790229,67,C,Cukup (Perlu Strategi) ⚠️
ID_10104,Semarang,Jawa Tengah,"Jl. Raden Saleh No. 112, Semarang",-6.966425,110.392318,4480705,15328,68,90512920,56,C,Cukup (Perlu Strategi) ⚠️
ID_10105,Batam,Kep. Riau,"Jl. Jend. Sudirman No. 66, Batam",1.156061,104.078987,5958229,18210,56,108937385,52,D,Tidak Disarankan ❌
ID_10106,Bandung,Jawa Barat,"Jl. Merdeka No. 135, Bandung",-6.912071,107.634546,5485866,18332,67,47294342,74,B,Potensial ✅
ID_10107,Tangerang Selatan,Banten,"Jl. Antasari No. 6, Tangerang Selatan",-6.320801,106.705501,7501478,19357,66,118118800,59,C,Cukup (Perlu Strategi) ⚠️
ID_10108,Ambon,Maluku,"Jl. Pattimura No. 178, Ambon",-3.72252,128.167017,3725333,8865,25,82564180,51,D,Tidak Disarankan ❌
ID_10109,Medan,Sumatera Utara,"Jl. Jend. Sudirman No. 165, Medan",3.54177,98.605135,6332822,14706,39,77239794,68,C,Cukup (Perlu Strategi) ⚠️
ID_10110,Ambon,Maluku,"Jl. Sisingamangaraja No. 3, Ambon",-3.663446,128.214865,2800000,7309,51,38383698,45,D,Tidak Disarankan ❌
ID_10111,Surabaya,Jawa Timur,"Jl. Raden Saleh No. 94, Surabaya",-7.246422,112.744845,5475893,13772,72,90176544,54,D,Tidak Disarankan ❌
ID_10112,Bandar Lampung,Lampung,"Jl. Hayam Wuruk No. 2, Bandar Lampung",-5.406193,105.224831,5719514,11745,94,23653283,72,B,Potensial ✅
ID_10113,Jayapura,Papua,"Jl. Sisingamangaraja No. 188, Jayapura",-2.647022,140.694364,4134217,10587,17,75216130,57,C,Cukup (Perlu Strategi) ⚠️
ID_10114,Jakarta Selatan,DKI Jakarta,"Jl. Gatot Subroto No. 158, Jakarta Selatan",-6.233979,106.826695,4908836,18446,110,83231180,40,D,Tidak Disarankan ❌
ID_10115,Malang,Jawa Timur,"Jl. Antasari No. 44, Malang",-7.948469,112.585417,3725358,15849,46,52386183,61,C,Cukup (Perlu Strategi) ⚠️
ID_10116,Malang,Jawa Timur,"Jl. Hayam Wuruk No. 104, Malang",-7.990539,112.708204,2944859,13733,30,63720011,63,C,Cukup (Perlu Strategi) ⚠️
ID_10117,Bandar Lampung,Lampung,"Jl. Kemang No. 2, Bandar Lampung",-5.399047,105.261725,3789793,2709,57,31616835,43,D,Tidak Disarankan ❌
ID_10118,Jakarta Selatan,DKI Jakarta,"Jl. Ahmad Yani No. 87, Jakarta Selatan",-6.226705,106.71915,6903962,13409,80,117615772,49,D,Tidak Disarankan ❌
ID_10119,Yogyakarta,DI Yogyakarta,"Jl. Pahlawan No. 51, Yogyakarta",-7.781087,110.400408,3525767,14677,49,29914731,75,B,Potensial ✅
ID_10120,Yogyakarta,DI Yogyakarta,"Jl. Jend. Sudirman No. 53, Yogyakarta",-7.842226,110.443646,2800000,7815,84,70183673,28,D,Tidak Disarankan ❌
ID_10121,Surabaya,Jawa Timur,"Jl. Pattimura No. 153, Surabaya",-7.268268,112.755359,10611506,25499,59,76257113,99,A,Sangat Direkomendasikan ⭐
ID_10122,Balikpapan,Kalimantan Timur,"Jl. Diponegoro No. 72, Balikpapan",-1.231296,116.814928,7310824,13453,18,83053539,82,B,Potensial ✅
ID_10123,Denpasar,Bali,"Jl. Gajah Mada No. 156, Denpasar",-8.751718,115.153186,3544517,25605,91,66115352,73,B,Potensial ✅
ID_10124,Tangerang Selatan,Banten,"Jl. Sisingamangaraja No. 30, Tangerang Selatan",-6.247463,106.651465,7866448,21998,75,97269909,79,B,Potensial ✅
ID_10125,Palembang,Sumatera Selatan,"Jl. Imam Bonjol No. 159, Palembang",-2.998883,104.711821,5690861,18118,45,57665114,87,A,Sangat Direkomendasikan ⭐
ID_10126,Ambon,Maluku,"Jl. Pasteur No. 199, Ambon",-3.740105,128.20842,4807368,5373,69,38439827,54,D,Tidak Disarankan ❌
ID_10127,Pontianak,Kalimantan Barat,"Jl. Pattimura No. 126, Pontianak",-0.015719,109.324066,3623091,9211,23,60378994,56,C,Cukup (Perlu Strategi) ⚠️
ID_10128,Palembang,Sumatera Selatan,"Jl. Ahmad Yani No. 138, Palembang",-2.960208,104.723639,4867010,16181,49,53495229,74,B,Potensial ✅
ID_10129,Jakarta Selatan,DKI Jakarta,"Jl. Jend. Sudirman No. 41, Jakarta Selatan",-6.305084,106.871498,6733907,15290,94,97765320,49,D,Tidak Disarankan ❌
ID_10130,Semarang,Jawa Tengah,"Jl. Pahlawan No. 74, Semarang",-6.907013,110.479718,4550818,13804,59,90523149,49,D,Tidak Disarankan ❌
ID_10131,Jakarta Pusat,DKI Jakarta,"Jl. Raden Saleh No. 25, Jakarta Pusat",-6.244061,106.870844,9445662,18044,85,93892037,68,C,Cukup (Perlu Strategi) ⚠️
ID_10132,Malang,Jawa Timur,"Jl. Gatot Subroto No. 104, Malang",-7.944502,112.55671,4240158,9090,14,71232485,54,D,Tidak Disarankan ❌
ID_10133,Samarinda,Kalimantan Timur,"Jl. Pasteur No. 165, Samarinda",-0.547812,117.110731,6302060,14530,65,60856109,61,C,Cukup (Perlu Strategi) ⚠️
ID_10134,Makassar,Sulawesi Selatan,"Jl. Kemang No. 21, Makassar",-5.124341,119.391575,5524633,15274,81,70667593,63,C,Cukup (Perlu Strategi) ⚠️
ID_10135,Batam,Kep. Riau,"Jl. Sisingamangaraja No. 12, Batam",1.095168,104.010451,5535688,16922,0,80388413,86,A,Sangat Direkomendasikan ⭐
ID_10136,Ambon,Maluku,"Jl. Diponegoro No. 62, Ambon",-3.779523,128.153168,5314963,9073,34,40290311,63,C,Cukup (Perlu Strategi) ⚠️
ID_10137,Semarang,Jawa Tengah,"Jl. Merdeka No. 85, Semarang",-7.023488,110.460009,3883983,14127,52,87798784,43,D,Tidak Disarankan ❌
ID_10138,Balikpapan,Kalimantan Timur,"Jl. Raden Saleh No. 130, Balikpapan",-1.245278,116.859621,6443301,16560,40,65547855,81,B,Potensial ✅
ID_10139,Tangerang Selatan,Banten,"Jl. Pattimura No. 186, Tangerang Selatan",-6.270232,106.707854,4213594,17912,81,84304584,55,C,Cukup (Perlu Strategi) ⚠️
ID_10140,Balikpapan,Kalimantan Timur,"Jl. Gajah Mada No. 76, Balikpapan",-1.239713,116.845419,4859949,11500,76,29976953,72,B,Potensial ✅
ID_10141,Malang,Jawa Timur,"Jl. Pasteur No. 53, Malang",-7.932538,112.582988,2800000,9819,54,50428445,45,D,Tidak Disarankan ❌
ID_10142,Manado,Sulawesi Utara,"Jl. Gajah Mada No. 11, Manado",1.550366,124.861754,3867057,7217,52,50332809,50,D,Tidak Disarankan ❌
ID_10143,Tangerang Selatan,Banten,"Jl. Pattimura No. 48, Tangerang Selatan",-6.294943,106.666647,5826662,19867,84,86779295,67,C,Cukup (Perlu Strategi) ⚠️
ID_10144,Samarinda,Kalimantan Timur,"Jl. Gatot Subroto No. 76, Samarinda",-0.506854,117.128414,3830012,15138,51,20760725,72,B,Potensial ✅
ID_10145,Kupang,NTT,"Jl. Merdeka No. 81, Kupang",-10.176886,123.599547,5758833,6425,28,46052956,69,C,Cukup (Perlu Strategi) ⚠️
ID_10146,Palembang,Sumatera Selatan,"Jl. Raden Saleh No. 51, Palembang",-2.975287,104.780371,4397066,17512,45,69606980,65,C,Cukup (Perlu Strategi) ⚠️
ID_10147,Surabaya,Jawa Timur,"Jl. Hayam Wuruk No. 31, Surabaya",-7.139404,112.720931,4873451,13958,75,66104032,55,C,Cukup (Perlu Strategi) ⚠️
ID_10148,Batam,Kep. Riau,"Jl. Cikini Raya No. 124, Batam",1.09566,104.020157,5942697,14883,53,93395276,65,C,Cukup (Perlu Strategi) ⚠️
ID_10149,Jakarta Selatan,DKI Jakarta,"Jl. Hayam Wuruk No. 91, Jakarta Selatan",-6.274626,106.748021,9517409,11515,76,96697592,68,C,Cukup (Perlu Strategi) ⚠️
ID_10150,Yogyakarta,DI Yogyakarta,"Jl. Pattimura No. 128, Yogyakarta",-7.814623,110.355258,4407335,13668,34,78788687,59,C,Cukup (Perlu Strategi) ⚠️
ID_10151,Kupang,NTT,"Jl. Imam Bonjol No. 172, Kupang",-10.242066,123.645843,2800000,8773,58,35513965,46,D,Tidak Disarankan ❌
ID_10152,Surabaya,Jawa Timur,"Jl. Kemang No. 16, Surabaya",-7.31924,112.708462,4529950,14650,79,86913969,44,D,Tidak Disarankan ❌
ID_10153,Semarang,Jawa Tengah,"Jl. Cikini Raya No. 17, Semarang",-6.893717,110.390936,4308210,17367,65,84745399,50,D,Tidak Disarankan ❌
ID_10154,Kupang,NTT,"Jl. Diponegoro No. 79, Kupang",-10.216299,123.602834,4493648,9774,16,48300515,74,B,Potensial ✅
ID_10155,Semarang,Jawa Tengah,"Jl. Pattimura No. 77, Semarang",-7.006221,110.364943,5660233,17480,18,56989211,85,A,Sangat Direkomendasikan ⭐
ID_10156,Jakarta Pusat,DKI Jakarta,"Jl. Imam Bonjol No. 32, Jakarta Pusat",-6.168744,106.821061,5837345,7254,56,132565097,30,D,Tidak Disarankan ❌
ID_10157,Surabaya,Jawa Timur,"Jl. Ahmad Yani No. 52, Surabaya",-7.261299,112.755671,6859115,8895,50,104114638,51,D,Tidak Disarankan ❌
ID_10158,Bandung,Jawa Barat,"Jl. Antasari No. 92, Bandung",-6.931364,107.565995,4443356,24133,52,73836448,71,B,Potensial ✅
ID_10159,Bandar Lampung,Lampung,"Jl. Hayam Wuruk No. 158, Bandar Lampung",-5.387423,105.204795,5567404,11160,34,35292738,70,B,Potensial ✅
ID_10160,Batam,Kep. Riau,"Jl. Diponegoro No. 163, Batam",1.125852,104.137581,5053350,11657,46,92247453,52,D,Tidak Disarankan ❌
